la_scode,la,la_code
S12000033,Aberdeen City,100
S12000034,Aberdeenshire,110
S12000041,Angus,120
S12000035,Argyll and Bute,130
S12000005,Clackmannanshire,150
S12000006,Dumfries and Galloway,170
S12000042,Dundee City,180
S12000008,East Ayrshire,190
S12000045,East Dunbartonshire,200
S12000010,East Lothian,210
S12000011,East Renfrewshire,220
S12000036,City of Edinburgh,230
S12000013,Na h-Eileanan Siar,235
S12000014,Falkirk,240
S12000047,Fife,250
S12000049,Glasgow City,260
S12000017,Highland,270
S12000018,Inverclyde,280
S12000019,Midlothian,290
S12000020,Moray,300
S12000021,North Ayrshire,310
S12000050,North Lanarkshire,320
S12000023,Orkney Islands,330
S12000048,Perth and Kinross,340
S12000038,Renfrewshire,350
S12000026,Scottish Borders,355
S12000027,Shetland Islands,360
S12000028,South Ayrshire,370
S12000029,South Lanarkshire,380
S12000030,Stirling,390
S12000039,West Dunbartonshire,395
S12000040,West Lothian,400
